Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2515,Rye,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2517,Millet,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2518,Sorghum,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2520,Cereals,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2531,Potatoes,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),28,Antigua and Barbuda,5142,Food,S2535,Yams,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2511,Wheat,2021,2021,1000 t,5224,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2807,Rice,2021,2021,1000 t,794,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2514,Maize,2021,2021,1000 t,544,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2516,Oats,2021,2021,1000 t,46,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2520,Cereals,2021,2021,1000 t,24,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2532,Cassava,2021,2021,1000 t,83,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2531,Potatoes,2021,2021,1000 t,2015,I,Imputed value
FBS,Food Balances (2010-),32,Argentina,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,113,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2511,Wheat,2021,2021,1000 t,414,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2807,Rice,2021,2021,1000 t,14,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2513,Barley,2021,2021,1000 t,14,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2514,Maize,2021,2021,1000 t,25,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2515,Rye,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2516,Oats,2021,2021,1000 t,2,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2517,Millet,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2520,Cereals,2021,2021,1000 t,5,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2531,Potatoes,2021,2021,1000 t,190,I,Imputed value
FBS,Food Balances (2010-),51,Armenia,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2511,Wheat,2021,2021,1000 t,2300,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2807,Rice,2021,2021,1000 t,372,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2513,Barley,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2514,Maize,2021,2021,1000 t,94,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2515,Rye,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2516,Oats,2021,2021,1000 t,10,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2518,Sorghum,2021,2021,1000 t,2,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2520,Cereals,2021,2021,1000 t,28,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2532,Cassava,2021,2021,1000 t,2,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2531,Potatoes,2021,2021,1000 t,1494,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,65,I,Imputed value
FBS,Food Balances (2010-),36,Australia,5142,Food,S2535,Yams,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2511,Wheat,2021,2021,1000 t,774,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2807,Rice,2021,2021,1000 t,80,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2513,Barley,2021,2021,1000 t,6,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2514,Maize,2021,2021,1000 t,113,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2515,Rye,2021,2021,1000 t,89,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2516,Oats,2021,2021,1000 t,29,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2520,Cereals,2021,2021,1000 t,17,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2531,Potatoes,2021,2021,1000 t,440,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),40,Austria,5142,Food,S2535,Yams,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2511,Wheat,2021,2021,1000 t,2051,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2807,Rice,2021,2021,1000 t,75,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2513,Barley,2021,2021,1000 t,25,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2514,Maize,2021,2021,1000 t,141,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2515,Rye,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2516,Oats,2021,2021,1000 t,3,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2520,Cereals,2021,2021,1000 t,5,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2531,Potatoes,2021,2021,1000 t,850,I,Imputed value
FBS,Food Balances (2010-),31,Azerbaijan,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2511,Wheat,2021,2021,1000 t,21,I,Imputed value
FBS,Food Balances (2010-),44,Bahamas,5142,Food,S2807,Rice,2021,2021,1000 t,11,I,Imputed value
